DATE,LNU03000018
1972/1/1,247
1972/2/1,286
1972/3/1,241
1972/4/1,221
1972/5/1,198
1972/6/1,424
1972/7/1,383
1972/8/1,303
1972/9/1,248
1972/10/1,253
1972/11/1,288
1972/12/1,262
1973/1/1,199
1973/2/1,224
1973/3/1,197
1973/4/1,234
1973/5/1,203
1973/6/1,438
1973/7/1,407
1973/8/1,262
1973/9/1,288
1973/10/1,220
1973/11/1,249
1973/12/1,226
1974/1/1,248
1974/2/1,230
1974/3/1,260
1974/4/1,211
1974/5/1,222
1974/6/1,462
1974/7/1,463
1974/8/1,280
1974/9/1,291
1974/10/1,288
1974/11/1,324
1974/12/1,289
1975/1/1,333
1975/2/1,283
1975/3/1,306
1975/4/1,300
1975/5/1,277
1975/6/1,493
1975/7/1,421
1975/8/1,355
1975/9/1,321
1975/10/1,304
1975/11/1,286
1975/12/1,279
1976/1/1,292
1976/2/1,265
1976/3/1,287
1976/4/1,299
1976/5/1,292
1976/6/1,502
1976/7/1,432
1976/8/1,389
1976/9/1,312
1976/10/1,299
1976/11/1,311
1976/12/1,270
1977/1/1,293
1977/2/1,277
1977/3/1,284
1977/4/1,248
1977/5/1,269
1977/6/1,548
1977/7/1,516
1977/8/1,423
1977/9/1,345
1977/10/1,336
1977/11/1,367
1977/12/1,332
1978/1/1,342
1978/2/1,332
1978/3/1,345
1978/4/1,306
1978/5/1,328
1978/6/1,530
1978/7/1,512
1978/8/1,358
1978/9/1,313
1978/10/1,294
1978/11/1,345
1978/12/1,305
1979/1/1,280
1979/2/1,326
1979/3/1,275
1979/4/1,311
1979/5/1,308
1979/6/1,501
1979/7/1,458
1979/8/1,334
1979/9/1,296
1979/10/1,322
1979/11/1,300
1979/12/1,286
1980/1/1,298
1980/2/1,324
1980/3/1,278
1980/4/1,231
1980/5/1,304
1980/6/1,496
1980/7/1,507
1980/8/1,343
1980/9/1,353
1980/10/1,335
1980/11/1,322
1980/12/1,325
1981/1/1,336
1981/2/1,305
1981/3/1,303
1981/4/1,304
1981/5/1,285
1981/6/1,498
1981/7/1,462
1981/8/1,407
1981/9/1,321
1981/10/1,383
1981/11/1,359
1981/12/1,319
1982/1/1,304
1982/2/1,331
1982/3/1,339
1982/4/1,305
1982/5/1,373
1982/6/1,543
1982/7/1,540
1982/8/1,452
1982/9/1,408
1982/10/1,381
1982/11/1,400
1982/12/1,373
1983/1/1,319
1983/2/1,306
1983/3/1,287
1983/4/1,330
1983/5/1,351
1983/6/1,612
1983/7/1,542
1983/8/1,471
1983/9/1,419
1983/10/1,365
1983/11/1,358
1983/12/1,348
1984/1/1,304
1984/2/1,285
1984/3/1,298
1984/4/1,307
1984/5/1,307
1984/6/1,464
1984/7/1,505
1984/8/1,398
1984/9/1,371
1984/10/1,337
1984/11/1,332
1984/12/1,325
1985/1/1,315
1985/2/1,317
1985/3/1,312
1985/4/1,296
1985/5/1,331
1985/6/1,472
1985/7/1,524
1985/8/1,341
1985/9/1,344
1985/10/1,349
1985/11/1,338
1985/12/1,345
1986/1/1,319
1986/2/1,297
1986/3/1,354
1986/4/1,346
1986/5/1,342
1986/6/1,514
1986/7/1,462
1986/8/1,351
1986/9/1,339
1986/10/1,293
1986/11/1,269
1986/12/1,279
1987/1/1,287
1987/2/1,290
1987/3/1,287
1987/4/1,279
1987/5/1,305
1987/6/1,431
1987/7/1,411
1987/8/1,302
1987/9/1,272
1987/10/1,302
1987/11/1,287
1987/12/1,285
1988/1/1,257
1988/2/1,284
1988/3/1,278
1988/4/1,221
1988/5/1,297
1988/6/1,387
1988/7/1,409
1988/8/1,302
1988/9/1,275
1988/10/1,252
1988/11/1,252
1988/12/1,240
1989/1/1,265
1989/2/1,269
1989/3/1,255
1989/4/1,236
1989/5/1,285
1989/6/1,478
1989/7/1,378
1989/8/1,291
1989/9/1,322
1989/10/1,287
1989/11/1,282
1989/12/1,257
1990/1/1,215
1990/2/1,220
1990/3/1,237
1990/4/1,184
1990/5/1,246
1990/6/1,406
1990/7/1,371
1990/8/1,297
1990/9/1,223
1990/10/1,248
1990/11/1,294
1990/12/1,272
1991/1/1,251
1991/2/1,244
1991/3/1,303
1991/4/1,235
1991/5/1,244
1991/6/1,395
1991/7/1,366
1991/8/1,290
1991/9/1,266
1991/10/1,279
1991/11/1,246
1991/12/1,238
1992/1/1,261
1992/2/1,290
1992/3/1,265
1992/4/1,244
1992/5/1,327
1992/6/1,486
1992/7/1,438
1992/8/1,326
1992/9/1,338
1992/10/1,315
1992/11/1,314
1992/12/1,288
