WEEK,THRESHOLD,BASELINE,PERCENT P&I,PERCENT PIC,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,NUM COVID-19 DEATHS,TOTAL PIC,TOTAL DEATHS
1.00 ,7.60 ,7.30 ,8.10 ,8.10 ,289.00 ,4558.00 ,0.00 ,4847.00 ,59763.00 
2.00 ,7.70 ,7.30 ,8.00 ,8.00 ,368.00 ,4505.00 ,0.00 ,4873.00 ,60980.00 
3.00 ,7.80 ,7.40 ,8.40 ,8.40 ,373.00 ,4621.00 ,0.00 ,4994.00 ,59293.00 
4.00 ,7.80 ,7.40 ,8.30 ,8.30 ,367.00 ,4427.00 ,0.00 ,4794.00 ,58047.00 
5.00 ,7.80 ,7.50 ,8.20 ,8.20 ,351.00 ,4452.00 ,0.00 ,4803.00 ,58432.00 
6.00 ,7.90 ,7.50 ,8.20 ,8.20 ,419.00 ,4448.00 ,0.00 ,4867.00 ,59038.00 
7.00 ,7.90 ,7.50 ,8.50 ,8.50 ,545.00 ,4419.00 ,0.00 ,4964.00 ,58479.00 
8.00 ,7.80 ,7.50 ,8.50 ,8.50 ,605.00 ,4369.00 ,0.00 ,4974.00 ,58288.00 
9.00 ,7.80 ,7.50 ,8.40 ,8.40 ,534.00 ,4260.00 ,0.00 ,4794.00 ,57256.00 
10.00 ,7.80 ,7.40 ,8.20 ,8.20 ,472.00 ,4223.00 ,0.00 ,4695.00 ,57477.00 
11.00 ,7.70 ,7.40 ,7.90 ,7.90 ,376.00 ,4100.00 ,0.00 ,4476.00 ,56656.00 
12.00 ,7.70 ,7.30 ,7.70 ,7.70 ,319.00 ,4091.00 ,0.00 ,4410.00 ,57045.00 
13.00 ,7.60 ,7.20 ,7.60 ,7.60 ,333.00 ,3887.00 ,0.00 ,4220.00 ,55703.00 
14.00 ,7.50 ,7.10 ,7.40 ,7.40 ,266.00 ,3821.00 ,0.00 ,4087.00 ,55159.00 
15.00 ,7.40 ,7.00 ,7.30 ,7.30 ,208.00 ,3776.00 ,0.00 ,3984.00 ,54861.00 
16.00 ,7.30 ,6.90 ,6.90 ,6.90 ,162.00 ,3489.00 ,0.00 ,3651.00 ,53070.00 
17.00 ,7.20 ,6.80 ,6.70 ,6.70 ,90.00 ,3458.00 ,0.00 ,3548.00 ,53295.00 
18.00 ,7.10 ,6.70 ,6.40 ,6.40 ,63.00 ,3308.00 ,0.00 ,3371.00 ,52657.00 
19.00 ,7.00 ,6.60 ,6.30 ,6.30 ,50.00 ,3216.00 ,0.00 ,3266.00 ,51985.00 
20.00 ,6.80 ,6.50 ,6.20 ,6.20 ,53.00 ,3201.00 ,0.00 ,3254.00 ,52480.00 
21.00 ,6.70 ,6.40 ,6.10 ,6.10 ,24.00 ,3091.00 ,0.00 ,3115.00 ,50972.00 
22.00 ,6.60 ,6.20 ,5.90 ,5.90 ,23.00 ,3019.00 ,0.00 ,3042.00 ,51256.00 
23.00 ,6.50 ,6.10 ,6.10 ,6.10 ,17.00 ,3127.00 ,0.00 ,3144.00 ,51418.00 
24.00 ,6.40 ,6.00 ,6.10 ,6.10 ,19.00 ,3069.00 ,0.00 ,3088.00 ,50797.00 
25.00 ,6.30 ,5.90 ,5.90 ,5.90 ,15.00 ,2982.00 ,0.00 ,2997.00 ,51195.00 
26.00 ,6.20 ,5.80 ,5.90 ,5.90 ,10.00 ,2954.00 ,0.00 ,2964.00 ,50617.00 
27.00 ,6.10 ,5.70 ,5.60 ,5.60 ,18.00 ,2824.00 ,0.00 ,2842.00 ,50959.00 
28.00 ,6.00 ,5.70 ,6.10 ,6.10 ,4.00 ,3047.00 ,0.00 ,3051.00 ,49973.00 
29.00 ,5.90 ,5.60 ,5.50 ,5.50 ,10.00 ,2755.00 ,0.00 ,2765.00 ,50127.00 
30.00 ,5.90 ,5.50 ,5.80 ,5.80 ,3.00 ,2853.00 ,0.00 ,2856.00 ,49362.00 
31.00 ,5.80 ,5.50 ,5.40 ,5.40 ,4.00 ,2695.00 ,0.00 ,2699.00 ,50087.00 
32.00 ,5.80 ,5.50 ,5.40 ,5.40 ,6.00 ,2723.00 ,0.00 ,2729.00 ,50237.00 
33.00 ,5.80 ,5.40 ,5.40 ,5.40 ,11.00 ,2689.00 ,0.00 ,2700.00 ,50185.00 
34.00 ,5.80 ,5.40 ,5.60 ,5.60 ,7.00 ,2756.00 ,0.00 ,2763.00 ,49517.00 
35.00 ,5.80 ,5.50 ,5.40 ,5.40 ,7.00 ,2716.00 ,0.00 ,2723.00 ,50832.00 
36.00 ,5.80 ,5.50 ,5.60 ,5.60 ,12.00 ,2825.00 ,0.00 ,2837.00 ,50981.00 
37.00 ,5.90 ,5.50 ,5.90 ,5.90 ,7.00 ,3021.00 ,0.00 ,3028.00 ,51694.00 
38.00 ,5.90 ,5.60 ,5.80 ,5.80 ,16.00 ,2935.00 ,0.00 ,2951.00 ,51230.00 
